,init_value,est_value
DD_ss,0.46237472390345613,21.442730947162516
P53_ss,0.6687739937727432,0.20393030377293297
P53P_ss,0.2847146750622302,0.3419058481014804
MDM2_ss,0.2211273613980566,0.26255102920372075
P21_ss,0.5775549465180578,4.686343829876266
BTG2_ss,0.8049009600493425,5.1564640958233685
EC2,0.4269435994925939,2.5204280180892833
EC3,0.811980485408851,6.307280646327338
tau1,0.01635806421603099,0.03048445717161853
kd_dd,0.7155995311082428,0.06237535881872842
k_dp,0.4861530459360023,0.6145469418693293
kd_p53,0.7409910635135805,0.07110570525068578
kd_p53p,0.5593526860910183,0.000321822146912136
kd_p53_mdm2,0.7490233314147967,3.691141631466161e-05
kd_p53p_mdm2,0.4958462155620432,0.103860346327993
ks_mdm2,0.5712421688962783,0.000392827973846765
ks_mdm2_p53p,0.13652866439454317,0.050118670145636424
ks_p21,0.20193320695245134,0.012410162903513667
ks_p21_p53p,0.3548179619671441,0.2563077718624401
Km_mdm2,0.1313062975217879,0.29618423245239434
Km_p21,0.23585830936519614,0.7405193230455089
Km_btg2,0.5229416195490822,0.38155178004337076
ks_btg2,0.804362330368752,0.14387901804701836
ks_btg2_p53p,0.5117626653957762,0.5548002152574245
sf_p53,0.7776718160732505,16.881626455967197
sf_mdm2,0.18562088113508832,5.389987878517924
sf_p21,0.8087531560379874,0.2913283490637697
sf_btg2,0.12414313486046097,0.15422189082803517
offset_p53,0.0762473147110401,-9.157445613053795
offset_mdm2,0.5633282141896807,-1.3242783273899301
offset_p21,0.7988885770134561,-1.3085851778745727
offset_btg2,0.9554573956746312,-0.7834022802745606
ks_dd,0.09420500672467987,0.4572984006344495
k_p,1.0635921193991535,0.05020796686392254
ks_p53,0.7967977963544693,0.02393592502776945
kd_mdm2,3.1740163808086628,0.12361598620989667
kd_p21,0.7672893660203757,0.00502558171227477
kd_btg2,1.050685118931909,0.07008091909333679
